Produto Planilha,Produto ERP,ID,Ocorrências,Match
"Ypióca 160 Anos 700ml","Ypióca 160 Anos 700ml",3120007,8,exato
"Salinas Tradicional 1l","Salinas Tradicional 1l",3150002,8,exato
"Gordon's Dry 750ml","Gordon's Dry 750ml",2250001,8,exato
"Presidente 900ml","Presidente 900ml",2190001,8,exato
"Bem Bolado Large Brown","Bem Bolado Large Brown",3210001,8,exato
"Casal Garcia Sweet White 750ml","Casal Garcia Sweet White 750ml",1740010,8,exato
"Smirnoff Ice Tropical 269ml","Smirnoff Ice Tropical 269ml",1230002,8,exato
"Brutal Fruit Ruby Apple 275ml","Brutal Fruit Ruby Apple 275ml",2100004,7,exato
"São João da Barra 900ml","São João da Barra 900ml",3000003,7,exato
"Domecq 1l","Domecq 1l",3000002,7,exato
"Jose Cuervo Edição Limitada 750ml","Jose Cuervo Edição Limitada 750ml",3060040,7,exato
"Jim Beam White 1l","Jim Beam White 1l",3210006,7,exato
"Santa Loreto (Migração de Dados)","Santa Loreto (Migração de Dados)",4260002,7,exato
"Concha Y Toro 750ml (Migração de Dados)","Concha Y Toro 750ml (Migração de Dados)",4200005,7,exato
"Beats Senses Garrafa 269ml","Beats Senses Garrafa 269ml",1230011,7,exato
"Elma Chips Amendoim Sem Pele 100gr","Elma Chips Amendoim Sem Pele 100gr",1830016,7,exato
"Stella Artois 350ml","Stella Artois 350ml",2790003,7,exato
"Casal Garcia Rosé 750ml","Casal Garcia Rosé 750ml",1740009,7,exato
"Lacta Favoritos 250,6gr","Lacta Favoritos 250,6gr",1710004,7,exato
"51 Cachaça 965ml","51 Cachaça 965ml",2490013,6,exato
"Doublé Black 1l","Doublé Black 1l",2400001,6,exato
"Black Label 750ml","Black Label 750ml",3570001,6,exato
"Red Label 750ml","Red Label 750ml",1740016,6,exato
"Busca Vida 670ml","Busca Vida 670ml",2940001,6,exato
"Cabaré Ouro 700ml","Cabaré Ouro 700ml",2310001,6,exato
"Seleta do Verdão 700ml","Seleta do Verdão 700ml",3120012,6,exato
"Chandon Brut 750ml","Chandon Brut 750ml",3240004,6,exato
"Marlboro Gold","Marlboro Gold",1350001,6,exato
"Contini Branco 900ml","Contini Branco 900ml",2490008,6,exato
"Black & White Orange 700ml","Black & White Orange 700ml",5220016,6,exato
"Ciroc Red Berry 750ml","Ciroc Red Berry 750ml",1950004,6,exato
"Mansão Maromba Gin Melancia 1l","Mansão Maromba Gin Melancia 1l",2250012,6,exato
"Kero Coco 1l","Kero Coco 1l",1260011,6,exato
"Tônica Antarctica Zero Açucares 350ml","Tônica Antarctica Zero Açucares 350ml",2070030,6,exato
"43 Chocolate 700ml","43 Chocolate 700ml",4140003,5,exato
"The Singleton 750ml","The Singleton 750ml",4620003,5,exato
"Tequi Loka Gold 1l ","Tequi Loka Gold 1l ",3180003,5,exato
"Woodford Reserve 750 ml","Woodford Reserve 750 ml",5220014,5,exato
"Souza Paiol Tradicional","Souza Paiol Tradicional",1410012,5,exato
"Don Luiz 750ml","Don Luiz 750ml",2250005,5,exato
"Itaipava 473ml","Itaipava 473ml",2100002,5,exato
"51 Cachaça 350ml","51 Cachaça 350ml",1620001,5,exato
"Império Pilsen 350ml","Império Pilsen 350ml",2040011,5,exato
"Vibe 2l","Vibe 2l ",660007,5,parcial
"Ballantine's 17 Anos 750ml","Ballantine's 17 Anos 750ml",3090009,4,exato
"Baden Baden Witbier 600ml","Baden Baden Witbier 600ml",2970002,4,exato
"Absolut Raspberri 750ml","Absolut Raspberri 750ml",3060028,4,exato
"Santa Helena Rosé 750ml","Santa Helena Rosé 750ml",4260001,4,exato
"Santa Helena Carmenere 750ml","Santa Helena Carmenere 750ml",3540004,4,exato
"Santomé Bordô 1l","Santomé Bordô 1l",1470001,4,exato
"Concha Y Toro Sauvignon Blanc 750ml","Concha Y Toro Sauvignon Blanc 750ml",2190007,4,exato
"Minalba 510ml","Minalba 510ml",720001,4,exato
"Casal Garcia Tinto 750ml","Casal Garcia Tinto 750ml",1740012,4,exato
"Coca Cola 1l Retornável ","Coca Cola 1l Retornável ",2280007,4,exato
"Cereser Maça Verde 275ml","Cereser Maça Verde 275ml",2100003,4,exato
"Kariri Ouro 960ml","Kariri Ouro 960ml",2310005,3,exato
"Cabaré Prata 700ml","Cabaré Prata 700ml",2310003,3,exato
"Tanqueray Royale 700ml","Tanqueray Royale 700ml",3060009,3,exato
"Amarula 750ml","Amarula 750ml",3180005,3,exato
"Eagle Rare 10 Anos 750ml","Eagle Rare 10 Anos 750ml",2490001,3,exato
"Habitué Absinto 700ml","Habitué Absinto 700ml",3090006,3,exato
"Seleta Tricolor 700ml","Seleta Tricolor 700ml",3120011,3,exato
"Baileys 750ml","Baileys 750ml",2250006,3,exato
"Borracha Vaso Grande","Borracha Vaso Grande",3060003,3,exato
"Borracha Vaso Pequeno","Borracha Vaso Pequeno",3060001,3,exato
"Tequi Loka Silver 1l","Tequi Loka Silver 1l",3180004,3,exato
"Jack Daniel's Fire 1l","Jack Daniel's Fire 1l",1770005,3,exato
"Green Label 750ml","Green Label 750ml",5220012,3,exato
"Jack Daniel's 700ml","Jack Daniel's 700ml",5250002,3,exato
"Santa Helena Malbec 750ml","Santa Helena Malbec 750ml",2130021,3,exato
"Casillero Del Diablo Cabernet Sauvignon 750ml","Casillero Del Diablo Cabernet Sauvignon 750ml",2160002,3,exato
"Santa Loreto Cabernet Sauvignon 750ml","Santa Loreto Cabernet Sauvignon 750ml",2130014,3,exato
"Amstel 355ml","Amstel 355ml",3210011,3,exato
"Casillero Del Diablo Carmenere 750ml","Casillero Del Diablo Carmenere 750ml",2160003,3,exato
"Itubaína Zero 350ml","Itubaína Zero 350ml",2070035,3,exato
"Santa Helena Sauvignon Blanc 750ml","Santa Helena Sauvignon Blanc 750ml",2130019,3,exato
"Stella Artois Pure Gold 330ml","Stella Artois Pure Gold 330ml",990009,3,exato
"Concha Y Toro Cabernet Sauvignon 750ml","Concha Y Toro Cabernet Sauvignon 750ml",1740014,3,exato
"Michelob 330ml","Michelob 330ml",1800001,3,exato
"Patagonia Amber Lager 350ml","Patagonia Amber Lager 350ml",2040005,3,exato
"Concha Y Toro Carmenere 750ml","Concha Y Toro Carmenere 750ml",2130020,3,exato
"Corona Cero Sunbrew 350ml 0.0%","Corona Cero Sunbrew 350ml 0.0%",540011,3,exato
"Coco Leve 190gr","Coco Leve 190gr",2910006,3,exato
"Stella Artois Pure Gold 350ml","Stella Artois Pure Gold 350ml",990007,3,exato
"Concha Y Toro Malbec 750ml","Concha Y Toro Malbec 750ml",1740015,3,exato
"Lindoya Vida 1,5l 6 Unidades","Lindoya Vida 1,5l 6 Unidades",4200006,2,exato
"Ballena Chocolare e Caramelo 750ml","Ballena Chocolare e Caramelo 750ml",2220001,2,exato
"Pack Canudo","Pack Canudo",5250005,2,exato
"Gold Label 18 Anos 750ml","Gold Label 18 Anos 750ml",3060005,2,exato
"Brahma Chopp 269ml 15 Unidades","Brahma Chopp 269ml 15 Unidades",2010002,2,exato
"Amarula Raspberry 750ml","Amarula Raspberry 750ml",3180007,2,exato
"Aperol 750ml","Aperol 750ml",2280004,2,exato
"Vulcan Abafador","Vulcan Abafador",4920001,2,exato
"Sakeih 750ml","Sakeih 750ml",2310004,2,exato
"Jose Cuervo Silver 750ml","Jose Cuervo Silver 750ml",3060041,2,exato
"Tequilero Gold 750ml","Tequilero Gold 750ml",3150006,2,exato
"Grey Goose Strawberry And Lemongrass 750ml","Grey Goose Strawberry And Lemongrass 750ml",3060039,2,exato
"Okinawa 740ml","Okinawa 740ml",2280014,2,exato
"Grey Goose 750ml","Grey Goose 750ml",2190008,2,exato
"Ballantine's 10 Anos 1l","Ballantine's 10 Anos 1l",2280005,2,exato
"Bulleit 750ml","Bulleit 750ml",3060015,2,exato
"Casillero Del Diablo Malbec 750ml","Casillero Del Diablo Malbec 750ml",2160006,2,exato
"Casillero Del Diablo Merlot 750ml","Casillero Del Diablo Merlot 750ml",2160004,2,exato
"Gato Negro Carmenere 750ml","Gato Negro Carmenere 750ml",2160009,2,exato
"Casillero Del Diablo Rosé 750ml","Casillero Del Diablo Rosé 750ml",4200002,2,exato
"Gato Negro 750ml (Migração de Dados)","Gato Negro 750ml (Migração de Dados)",4200008,2,exato
"Gato Negro Malbec 750ml","Gato Negro Malbec 750ml",2160008,2,exato
"Draft 0,0 Alcool 600ml","Draft 0,0 Alcool 600ml",2970003,2,exato
"Cristal 300ml","Cristal 300ml",4140009,2,exato
"Salton Brut 750ml","Salton Brut 750ml",2970004,2,exato
"Salton Demi-Sec 750ml","Salton Demi-Sec 750ml",2970005,2,exato
"Corona Cero Sunbrew 350ml 0.0% 8 Unidades","Corona Cero Sunbrew 350ml 0.0% 8 Unidades",540012,2,exato
"Soda Zero Açucares 350ml","Soda Zero Açucares 350ml",2070032,2,exato
"Beats GT Garrafa 269ml","Beats GT Garrafa 269ml",1230010,2,exato
"Budweiser 269ml 15 Unidades","Budweiser 269ml 15 Unidades",870003,2,exato
"Coca Cola 250ml","Coca Cola 250ml",630003,2,exato
"Brahma Malzbier 350ml","Brahma Malzbier 350ml",2070038,2,exato
"Pérgola Branco Seco 1l","Pérgola Branco Seco 1l",1470006,2,exato
"Matte Leão 1,5l","Matte Leão 1,5l",3240001,2,exato
"Mansão Maromba Vodka 1l","Mansão Maromba Vodka 1l",2250013,1,exato
"Cynar 900ml","Cynar 900ml",2490004,1,exato
"Bulldog London Dry 750ml","Bulldog London Dry 750ml",3060024,1,exato
"Wild Turkey Rye 700ml","Wild Turkey Rye 700ml",3060019,1,exato
"Cardhu 12 anos 1l","Cardhu 12 anos 1l",3060022,1,exato
"Dose 50ml Old Parr","Dose 50ml Old Parr",3000006,1,exato
"Ypióca 150 Anos 700ml","Ypióca 150 Anos 700ml",3120009,1,exato
"Tiss Tubaína 2l","Tiss Tubaína 2l",2520005,1,exato
"Coca Cola 350ml 12 Unidades","Coca Cola 350ml 12 Unidades",4200003,1,exato
"Rosé Piscine 750ml","Rosé Piscine 750ml",2190004,1,exato
"Old Star 1l","Old Star 1l",4470003,1,exato
"Wild Turkey 81 1l","Wild Turkey 81 1l",3060018,1,exato
"Blue Label 750ml","Blue Label 750ml",3060007,1,exato
"Skyy 750ml","Skyy 750ml",2190005,1,exato
"Grey Goose Watermelon 750ml","Grey Goose Watermelon 750ml",3060038,1,exato
"Grey Goose L'Orange 750ml","Grey Goose L'Orange 750ml",3060037,1,exato
"Jack Daniel's Single Barrel 750ml","Jack Daniel's Single Barrel 750ml",3060023,1,exato
"Amarula Ethiopian Coffee 750ml","Amarula Ethiopian Coffee 750ml",3180006,1,exato
"Belvedere 700ml","Belvedere 700ml",3060036,1,exato
"Salinas Cristalina 700ml","Salinas Cristalina 700ml",3150001,1,exato
"Vulcan Rosh","Vulcan Rosh",1860004,1,exato
"Sagatiba Cristalina 700ml","Sagatiba Cristalina 700ml",2280012,1,exato
"Jagermeister 1l","Jagermeister 1l",3060044,1,exato
"Seleta da Vila 700ml","Seleta da Vila 700ml",3120010,1,exato
"Wild Turkey 101 700ml","Wild Turkey 101 700ml",3060017,1,exato
"Long One 2l","Long One 2l",690011,1,exato
"Crystal Com Gás 500ml","Crystal Com Gás 500ml",810002,1,exato
"Jim Beam Black Extra Age 1l","Jim Beam Black Extra Age 1l",3210010,1,exato
"Original 350ml 12 Unidades","Original 350ml 12 Unidades",540017,1,exato
"Santa Helena Chadonnay 750ml","Santa Helena Chadonnay 750ml",3540005,1,exato
"Corona Extra 269ml 8 Unidades","Corona Extra 269ml 8 Unidades",540008,1,exato
"Stella Artois Pure Gold 269ml","Stella Artois Pure Gold 269ml",990003,1,exato
"Brahma 0,0% Álcool 350ml","Brahma 0,0% Álcool 350ml",2040003,1,exato
"Jagermeister Cold Brew Coffe 750ml","Jagermeister Cold Brew Coffe 750ml",3090003,1,exato
"Coca Cola 250ml Zero Açucar","Coca Cola 250ml Zero Açucar",630004,1,exato
"Itaipava 350ml 12 Unidades","Itaipava 350ml 12 Unidades",420007,1,exato
"Colorado Ribeirão Lager 600ml","Colorado Ribeirão Lager 600ml",2940006,1,exato
"Martini Vermouth Rosso 750ml","Martini Vermouth Rosso 750ml",2490007,1,exato
"Patagonia Weisse 350ml","Patagonia Weisse 350ml",2850004,1,exato
"Casillero Del Diablo Sauvignon Blanc 750ml","Casillero Del Diablo Sauvignon Blanc 750ml",2160001,1,exato
"Casal Garcia Verde 750ml","Casal Garcia Verde 750ml",1740011,1,exato
"Crystal 500ml","Crystal 500ml",780001,1,exato
"Sprite Sem Açúcar 350ml","Sprite Sem Açúcar 350ml",2070036,1,exato
"Império Gold 330ml ","Império Gold 330ml ",2280010,1,exato
"Dose Jack Daniel's 700ml","Jack Daniel's 700ml",5250002,1,parcial
